observation_date,APU0000FN1101
2018-04-01,1.443
2018-05-01,1.473
2018-06-01,1.477
2018-07-01,1.466
2018-08-01,1.492
2018-09-01,1.452
2018-10-01,1.439
2018-11-01,1.428
2018-12-01,1.466
2019-01-01,1.548
2019-02-01,1.582
2019-03-01,1.568
2019-04-01,1.535
2019-05-01,1.538
2019-06-01,1.579
2019-07-01,1.566
2019-08-01,1.585
2019-09-01,1.603
2019-10-01,1.567
2019-11-01,1.546
2019-12-01,1.483
2020-01-01,1.585
2020-02-01,1.611
2020-03-01,1.649
2020-04-01,1.717
2020-05-01,1.703
2020-06-01,1.685
2020-07-01,1.721
2020-08-01,1.692
2020-09-01,1.621
2020-10-01,1.716
2020-11-01,1.469
2020-12-01,1.611
2021-01-01,1.677
2021-02-01,1.668
2021-03-01,1.714
2021-04-01,1.685
2021-05-01,1.626
2021-06-01,1.646
2021-07-01,1.674
2021-08-01,1.676
2021-09-01,1.780
2021-10-01,1.763
2021-11-01,1.717
2021-12-01,1.706
2022-01-01,1.762
2022-02-01,1.801
2022-03-01,1.820
2022-04-01,1.820
2022-05-01,1.902
2022-06-01,1.949
2022-07-01,1.964
2022-08-01,2.028
2022-09-01,2.171
2022-10-01,2.247
2022-11-01,2.151
2022-12-01,2.129
2023-01-01,2.244
2023-02-01,2.305
2023-03-01,2.345
2023-04-01,2.398
2023-05-01,2.391
2023-06-01,2.334
2023-07-01,2.313
2023-08-01,2.305
2023-09-01,2.364
2023-10-01,2.357
2023-11-01,2.126
2023-12-01,2.111
2024-01-01,2.214
2024-02-01,2.245
2024-03-01,2.282
2024-04-01,2.277
2024-05-01,2.236
2024-06-01,2.021
2024-07-01,2.087
2024-08-01,2.056
2024-09-01,1.998
2024-10-01,2.032
2024-11-01,1.982
2024-12-01,1.845
2025-01-01,2.093
2025-02-01,2.101
2025-03-01,2.103
2025-04-01,2.104
2025-05-01,2.129
2025-06-01,2.183
2025-07-01,2.199
2025-08-01,2.208
2025-09-01,2.234
2025-10-01,
2025-11-01,2.093
2025-12-01,1.975
